SID,NAME,ARTIST,dance pop,YEAR,BPM,ENERGY,DANCEABILITY,LOUDNESS,LIVENESS,VALENCE,SPCH ,POP,DURATION,ACTIVITY
66,Pom Poms,Jonas Brothers,canadian contemporary r&b,2013,148,98,68,-2,28,90,9,52,198,3
67,She Looks So Perfect,5 Seconds of Summer,dance pop,2014,160,95,49,-4,33,44,2,71,202,4
68,Night Changes,One Direction,colombian pop,2015,120,52,67,-8,12,37,4,77,227,5
69,Perfect,One Direction,pop,2015,100,82,65,-5,12,40,8,55,230,6
70,Steal My Girl,One Direction,canadian pop,2015,77,76,47,-6,14,52,4,51,227,7
71,Reggaetón Lento (Remix),CNCO,canadian pop,2017,94,91,53,-3,10,62,9,71,189,1
72,Only Human,Jonas Brothers,complextro,2019,94,50,80,-6,6,87,7,87,183,2
73,Sucker,Jonas Brothers,canadian pop,2019,138,73,84,-5,11,95,6,86,181,3
74,Someone Like You,Adele,dance pop,2011,135,33,56,-8,10,28,2,80,285,4
75,Rolling in the Deep,Adele,boy band,2011,105,76,73,-5,5,52,3,76,228,5
76,Set Fire to the Rain,Adele,canadian pop,2012,108,68,61,-4,13,47,3,76,242,6
77,Hello,Adele,canadian pop,2015,158,45,48,-6,9,29,3,73,295,7
78,Only Love Can Hurt Like This,Paloma Faith,boy band,2015,91,89,57,-5,33,31,8,69,233,1
79,All I Ask,Adele,big room,2016,142,28,59,-5,15,34,3,71,272,2
80,Send My Love (To Your New Lover),Adele,dance pop,2016,164,52,69,-8,17,56,10,61,223,3
81,When We Were Young,Adele,canadian pop,2016,144,12,12,-6,9,27,2,58,291,4
82,Million Years Ago,Adele,british soul,2016,0,0,0,-60,0,0,0,0,227,5
83,All I Ask,Adele,art pop,2017,142,28,59,-5,15,34,3,71,272,7
84,Water Under the Bridge,Adele,boy band,2017,95,84,60,-7,11,47,7,49,240,1
85,Silence,Marshmello,dance pop,2018,142,76,52,-3,17,29,9,82,181,2
86,Happier,Marshmello,pop,2019,100,79,69,-3,17,67,5,90,214,3
87,The Hills,The Weeknd,art pop,2015,113,56,58,-7,14,14,5,84,242,4
88,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,australian pop,2015,120,38,66,-6,10,44,3,79,252,5
89,Here,Alessia Cara,pop,2015,120,82,38,-4,8,33,10,68,199,6
90,The Hills,The Weeknd,dance pop,2016,113,56,58,-7,14,14,5,84,242,7
91,Scars To Your Beautiful,Alessia Cara,australian dance,2016,97,74,57,-6,11,45,13,79,230,1
92,Here,Alessia Cara,celtic rock,2016,120,82,38,-4,8,33,10,68,199,1
93,Starboy,The Weeknd,art pop,2017,186,59,68,-7,14,49,28,85,230,2
94,I Feel It Coming,The Weeknd,british soul,2017,93,82,77,-6,7,59,12,81,269,2
95,"How Far I'll Go - From ""Moana""",Alessia Cara,barbadian pop,2017,181,54,31,-10,7,16,35,71,176,2
96,"Hold On, We're Going Home",Drake,complextro,2013,100,41,77,-7,7,29,10,73,228,3
97,Too Good,Drake,canadian pop,2016,118,65,79,-8,10,39,10,74,263,3
98,Behind Your Back,Nelly Furtado,dance pop,2016,98,47,80,-10,7,69,4,18,228,3
99,Baby,Justin Bieber,dance pop,2010,65,86,73,-5,11,54,14,77,214,3
100,What the Hell,Avril Lavigne,big room,2011,150,93,58,-4,14,88,5,74,221,3
101,Call Me Maybe,Carly Rae Jepsen,atl hip hop,2012,120,58,78,-7,11,66,4,76,193,3
102,Beauty And A Beat,Justin Bieber,boy band,2012,128,84,60,-5,7,53,6,72,228,3
103,Boyfriend,Justin Bieber,british soul,2012,97,55,72,-6,13,33,1,71,171,4
104,Rock N Roll,Avril Lavigne,dance pop,2013,184,96,47,-3,34,67,1,61,207,4
105,Heartbreaker,Justin Bieber,canadian contemporary r&b,2013,105,52,56,-7,34,58,5,61,263,4
106,Love Yourself,Justin Bieber,top genre,2015,100,38,61,-10,28,52,5,83,234,4
107,Sorry,Justin Bieber,british soul,2015,100,76,65,-4,30,41,6,81,201,4
108,What Do You Mean?,Justin Bieber,dance pop,2015,125,57,85,-8,8,79,7,79,206,4
109,Stitches,Shawn Mendes,chicago rap,2015,150,75,75,-7,5,76,2,78,207,4
110,Company,Justin Bieber,canadian pop,2015,95,80,59,-5,8,43,3,72,208,4
111,I'll Show You,Justin Bieber,dance pop,2015,192,61,36,-7,18,8,7,68,200,4
112,The Feeling,Justin Bieber,dance pop,2015,127,81,53,-6,10,21,6,67,245,5
113,I Really Like You,Carly Rae Jepsen,boy band,2015,122,81,62,-5,22,60,4,66,205,5
114,What Do You Mean? - Acoustic,Justin Bieber,boy band,2015,125,36,77,-11,10,76,4,64,204,5
115,Mark My Words,Justin Bieber,pop,2015,114,26,38,-9,17,52,3,63,134,5
116,Been You,Justin Bieber,dance pop,2015,113,78,74,-6,32,86,7,60,199,5
117,Love Yourself,Justin Bieber,dance pop,2016,100,38,61,-10,28,52,44,83,234,5
118,Stitches,Shawn Mendes,art pop,2016,150,75,75,-7,5,76,7,78,207,1
119,Company,Justin Bieber,dance pop,2016,95,80,59,-5,8,43,6,72,208,1
120,Don't Be A Fool,Shawn Mendes,dance pop,2016,175,34,47,-6,10,27,4,65,216,1
121,Run Away With Me,Carly Rae Jepsen,australian dance,2016,119,72,56,-6,5,25,5,63,251,1
122,I Know What You Did Last Summer,Shawn Mendes,canadian pop,2016,114,77,68,-5,16,72,10,57,224,2
123,Higher,Carly Rae Jepsen,acoustic pop,2016,114,87,65,-5,37,44,6,46,234,2
124,Treat You Better,Shawn Mendes,colombian pop,2017,83,82,44,-4,11,75,34,84,188,2
125,Mercy,Shawn Mendes,brostep,2017,148,66,56,-5,11,36,8,81,209,2
126,Cut To The Feeling,Carly Rae Jepsen,big room,2017,115,91,71,-3,30,65,6,69,208,2
127,There's Nothing Holdin' Me Back,Shawn Mendes,canadian latin,2018,122,81,87,-4,8,97,6,84,199,2
128,In My Blood,Shawn Mendes,canadian contemporary r&b,2018,140,71,62,-7,13,49,7,83,211,2
129,Friends (with BloodPop®),Justin Bieber,dance pop,2018,105,73,74,-5,30,62,4,77,189,2
130,Youth (feat. Khalid),Shawn Mendes,british soul,2018,100,60,53,-7,13,32,12,75,191,3
131,Nervous,Shawn Mendes,canadian pop,2018,122,62,84,-7,13,74,8,71,164,6
132,Señorita,Shawn Mendes,barbadian pop,2019,117,54,76,-6,9,75,3,95,191,7
133,I Love It (feat. Charli XCX),Icona Pop,canadian pop,2013,126,91,71,-3,15,82,3,67,157,7
134,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,canadian pop,2014,92,81,68,-4,34,64,6,50,169,7
